,title,url,rate,teach_rate,new_carr,advent,earn_more,level,lang,exec_time,chap_cnt,course_dur,chap_avg_dur,edu_name
772,Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV),https://ru.coursera.org/learn/patient-safety-sustainment?specialization=patient-safety,4.5,,,,,,2.0,,4,540,135.0,Университет Джонса Хопкинса
773,Китайский язык для начинающих,https://ru.coursera.org/learn/learn-chinese,4.8,4.8,30.0,29.0,15.0,,2.0,,7,960,137.14285714285714,Пекинский университет
774,Browser-based Models with TensorFlow.js,https://ru.coursera.org/learn/browser-based-models-tensorflow,4.7,4.81,,,,2.0,2.0,,4,1080,270.0,deeplearning.ai
775,Device-based Models with TensorFlow Lite,https://ru.coursera.org/learn/device-based-models-tensorflow,4.6,4.76,,,,2.0,2.0,,4,660,165.0,deeplearning.ai
776,Data Pipelines with TensorFlow Data Services,https://ru.coursera.org/learn/data-pipelines-tensorflow,4.1,4.87,,,,2.0,2.0,,4,1200,300.0,deeplearning.ai
777,Advanced Deployment Scenarios with TensorFlow,https://ru.coursera.org/learn/advanced-deployment-scenarios-tensorflow,4.6,4.59,,,,2.0,2.0,,4,720,180.0,deeplearning.ai
778,Autism Spectrum Disorder,https://ru.coursera.org/learn/autism-spectrum-disorder,4.7,4.75,23.0,16.0,,,2.0,,5,300,60.0,Калифорнийский университет в Девисе
779,Introduction to battery-management systems,https://ru.coursera.org/learn/battery-management-systems?specialization=algorithms-for-battery-management-systems,4.8,4.85,29.0,30.0,14.0,2.0,2.0,,5,1380,276.0,Система университетов штата Колорадо
780,Equivalent Circuit Cell Model Simulation,https://ru.coursera.org/learn/equivalent-circuit-cell-model-simulation?specialization=algorithms-for-battery-management-systems,4.7,4.92,,,,2.0,2.0,,6,1680,280.0,Система университетов штата Колорадо
781,Battery State-of-Charge (SOC) Estimation,https://ru.coursera.org/learn/battery-state-of-charge?specialization=algorithms-for-battery-management-systems,4.8,4.77,,,,2.0,2.0,,7,1740,248.57142857142858,Система университетов штата Колорадо
782,Battery State-of-Health (SOH) Estimation,https://ru.coursera.org/learn/battery-state-of-health?specialization=algorithms-for-battery-management-systems,4.8,,,,,2.0,2.0,,6,1380,230.0,Система университетов штата Колорадо
783,Введение в программирование с MATLAB,https://ru.coursera.org/learn/matlab,4.8,4.81,39.0,35.0,,1.0,2.0,,9,2220,246.66666666666666,Университет Вандербильта
784,"Responsive Website Basics: Code with HTML, CSS, and JavaScript ",https://ru.coursera.org/learn/website-coding?specialization=website-development,4.5,4.51,35.0,36.0,11.0,,2.0,,4,861,215.25,Лондонский университет
785,Адаптивный веб-дизайн,https://ru.coursera.org/learn/responsive-web-design?specialization=website-development,4.6,4.61,50.0,44.0,17.0,,2.0,,4,960,240.0,Лондонский университет
786,Introduction to Meteor.js Development  ,https://ru.coursera.org/learn/meteor-development?specialization=website-development,4.6,4.75,33.0,24.0,,,2.0,,4,840,210.0,Лондонский университет
787,Web Application Development with JavaScript and MongoDB,https://ru.coursera.org/learn/web-application-development?specialization=website-development,4.6,4.75,31.0,33.0,,,2.0,,4,805,201.25,Лондонский университет
788,Population Health During A Pandemic: Contact Tracing and Beyond,https://ru.coursera.org/learn/contact-tracing-for-covid-19,4.8,4.81,,,,1.0,2.0,,2,180,90.0,University of Houston
789,Стратегическое управление,https://ru.coursera.org/learn/strategic-management,4.7,4.82,40.0,26.0,,,2.0,,4,425,106.25,Копенгагенская школа бизнеса
790,Strategy Formulation,https://ru.coursera.org/learn/strategy-formulation,4.5,4.45,42.0,35.0,15.0,,2.0,,6,660,110.0,Копенгагенская школа бизнеса
791,Реализация стратегии,https://ru.coursera.org/learn/strategy-implementation,4.6,4.85,67.0,28.0,12.0,,2.0,,6,840,140.0,Копенгагенская школа бизнеса
792,Strategic Management - Capstone Project,https://ru.coursera.org/learn/businesscap,4.6,4.87,50.0,44.0,29.0,,2.0,,6,660,110.0,Копенгагенская школа бизнеса
793,Site Reliability Engineering: Measuring and Managing Reliability,https://ru.coursera.org/learn/site-reliability-engineering-slos,4.5,4.51,,,,3.0,2.0,,4,627,156.75,Google Cloud
794,Excel Skills for Business: Intermediate I,https://ru.coursera.org/learn/excel-intermediate-1,4.9,4.87,36.0,30.0,,2.0,2.0,,6,960,160.0,Университет Маккуори
